Módulo,Título,Contenido,Nivel
Módulo 1,Introducción y Fundamentos,5 temas,Básico
Módulo 2,Projects y Artifacts,6 temas,Básico-Intermedio
Módulo 3,Skills,8 temas,Intermedio
Módulo 4,Agents,9 temas,Intermedio-Avanzado
Módulo 5,MCPs,10 temas,Avanzado
Módulo 6,Extended Thinking,8 temas,Intermedio-Avanzado
Módulo 7,Claude Code,10 temas,Intermedio-Avanzado
Módulo 8,Claude API,11 temas,Intermedio-Avanzado
Módulo 9,Prompt Engineering,10 temas,Todos los niveles
Módulo 10,Context Window Management,10 temas,Intermedio-Avanzado
